Gender,Level/Year,Age,Your cumulative average (GPA),Before COVID-19: Which of the following digital tools do you usually use?,After COVID-19: Which of the following digital tools do you usually use?,Before COVID-19: How much time do you spend using the digital tools in learning?,After COVID-19: How much time do you spend using the digital tools in learning?,"Before COVID-19: I always use digital tools (mobile, laptop, i-pad) in studying.","After COVID-19: I always use digital tools (mobile, laptop, i-pad) in studying.","Before COVID-19: When I use the mobile phone, tablet or laptop in e-learning, I cannot concentrate and I am distracted.","After COVID-19: When I use the mobile phone, tablet or laptop in e-learning, I cannot concentrate and I am distracted.",Before COVID-19: I have fixed hours for bedtime and wake-up. ,After COVID-19: I have fixed hours for bedtime and wake-up. ,"Before COVID-19: Prolonged use of digital tools for learning (mobile, laptop, i-pad) affected my sleeping habits.","After COVID-19: Prolonged use of digital tools for learning (mobile, laptop, i-pad) affected my sleeping habits.",Before COVID-19: Continuous exposure to electronic screens in online learning is tiring and exhausting,After COVID-19: Continuous exposure to electronic screens in online learning is tiring and exhausting,"The distance learning system, caused by the COVID-19 epidemic, resulted in social distancing.","Prolonged use of digital tools (mobile, laptop, i-pad) causes students’ isolation ",University learning contributes to strengthening the social personality of students.,Staying home for long periods of time leads to lethargy and laziness.,"Prolonged use of e-learning tools often leads to boredom, nervousness, and tension.",The psychological element is a key factor in the success of the educational process.,"Some students cannot afford buying all necessary digital tools, which is embarrassing and frustrating.",I don’t recommend continuing with the online learning model because it is socially and psychologically unhealthy.,"Measures of lockdown, closures, and quarantine, brought by COVID-19 caused stress, frustration, and depression.","The volume of assignments via e-learning led to confusion, frustration and poor performance. ",Face-to-face interaction contributes significantly to boosting students’ academic achievement.,Taking quizzes and exams online from home was not comfortable and made me nervous.
Female,First/Freshman,18-24,+90 / +3.5,Mobile phone,I pad/ Tablet,3-6,6-9,Uncertain,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Uncertain,Strongly Agree,"Agree	",Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree
Male,Fourth/Senior,18-24,60-69 / 2-2.49,Laptop,Laptop,1-3 ,3-6,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Female,Other,25-30,70-79 / 2.5-299,Laptop,Mobile phone,3-6,6-9,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Uncertain,Uncertain,Agree,Agree,Strongly Agree,Disagree,"Uncertain	","Uncertain	",Disagree,Agree,Agree,Agree,Uncertain,Uncertain,Disagree,Agree,Strongly Agree
Male,Fourth/Senior,18-24,70-79 / 2.5-299,Other,Laptop,1-3 ,1-3 ,Disagree,Agree,Agree,Agree,Strongly Agree,Disagree,Agree,Agree,Agree,Agree,"Uncertain	","Uncertain	","Agree	","Agree	",Agree,Strongly Agree,Strongly Agree,Uncertain,Agree,Strongly Agree,Agree,Disagree
Female,Second/ Sophomore,18-24,80-89 / 3-3.49,Mobile phone,Mobile phone,1-3 ,1-3 ,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Uncertain,Uncertain,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Female,Second/ Sophomore,18-24,80-89 / 3-3.49,Laptop,Laptop,9-12,9-12,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Uncertain,Uncertain,Agree,Agree,Disagree,Disagree,"Agree	","Agree	",Uncertain,Uncertain,Agree,Disagree,Strongly Agree,Strongly Disagree,Uncertain,Strongly Disagree
Female,First/Freshman,25-30,80-89 / 3-3.49,Mobile phone,Mobile phone,1-3 ,6-9,Disagree,Strongly Agree,Uncertain,Uncertain,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree
Male,Third/Junior,18-24,70-79 / 2.5-299,Laptop,Laptop,1-3 ,6-9,Agree,Strongly Agree,Uncertain,Strongly Agree,Agree,Strongly Disagree,Uncertain,Strongly Agree,Uncertain,Strongly Agree,"Agree	","Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
Female,Fourth/Senior,25-30,+90 / +3.5,Mobile phone,Mobile phone,1-3 ,6-9,Agree,Strongly Agree,Agree,Agree,Agree,Disagree,Disagree,Agree,Disagree,Strongly Agree,"Agree	","Agree	","Agree	","Agree	",Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Agree
Female,Second/ Sophomore,18-24,80-89 / 3-3.49,Other,Laptop,1-3 ,9-12,Disagree,Strongly Agree,Uncertain,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Disagree,Disagree,"Uncertain	","Uncertain	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Uncertain,Agree,Agree,Strongly Agree
Female,Fourth/Senior,18-24,70-79 / 2.5-299,I pad/ Tablet,Laptop,6-9,9-12,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Agree,Agree,Agree,"Agree	",,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Uncertain,Agree,Strongly Disagree
Female,Fourth/Senior,18-24,+90 / +3.5,Mobile phone,Laptop,1-3 ,6-9,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Uncertain,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Female,Third/Junior,18-24,70-79 / 2.5-299,Laptop,Laptop,1-3 ,6-9,Agree,Strongly Agree,Uncertain,Strongly Agree,Uncertain,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,"Agree	",Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Uncertain,Strongly Disagree,Uncertain,Strongly Disagree
Female,First/Freshman,18-24,70-79 / 2.5-299,Mobile phone,Mobile phone,6-9,9-12,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Male,Third/Junior,25-30,80-89 / 3-3.49,I pad/ Tablet,I pad/ Tablet,1-3 ,3-6,Agree,Agree,Agree,Uncertain,Agree,Agree,Disagree,Disagree,Disagree,Disagree,"Uncertain	","Uncertain	","Uncertain	","Agree	",Disagree,Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Disagree
Female,First/Freshman,18-24,80-89 / 3-3.49,Laptop,Laptop,1-3 ,6-9,Disagree,Strongly Agree,Agree,Uncertain,Uncertain,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,"Agree	",Strongly Agree,Agree,Uncertain,,Agree,Agree,Strongly Agree,Disagree
Female,First/Freshman,18-24,80-89 / 3-3.49,Other,I pad/ Tablet,1-3 ,3-6,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Uncertain,Strongly Agree,Uncertain,Strongly Agree,Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree
Male,Third/Junior,18-24,80-89 / 3-3.49,Mobile phone,Mobile phone,1-3 ,3-6,Uncertain,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Uncertain,Strongly Agree,Uncertain,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Female,Second/ Sophomore,18-24,70-79 / 2.5-299,Mobile phone,Mobile phone,1-3 ,1-3 ,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Uncertain,Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Agree	","Agree	","Agree	","Agree	",Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree
Female,Second/ Sophomore,18-24,80-89 / 3-3.49,Other,Laptop,1-3 ,9-12,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Uncertain,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Uncertain,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Female,First/Freshman,18-24,70-79 / 2.5-299,Laptop,Laptop,3-6,+12,Uncertain,Strongly Agree,Agree,Agree,Strongly Agree,Disagree,Uncertain,Strongly Agree,Uncertain,Strongly Agree,Strongly Agree,"Agree	","Uncertain	",Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Female,Third/Junior,18-24,70-79 / 2.5-299,Laptop,Laptop,1-3 ,9-12,Uncertain,Agree,Uncertain,Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Strongly Disagree
Female,Fourth/Senior,18-24,70-79 / 2.5-299,Other,Personal Computer,1-3 ,3-6,Disagree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
Female,Fourth/Senior,18-24,80-89 / 3-3.49,Other,Laptop,1-3 ,6-9,Uncertain,Agree,Disagree,Agree,Agree,Uncertain,Disagree,Disagree,Uncertain,Strongly Agree,"Agree	",Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Uncertain
Male,Third/Junior,18-24,60-69 / 2-2.49,Laptop,Laptop,1-3 ,3-6,Disagree,Agree,Uncertain,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Uncertain,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Female,First/Freshman,18-24,+90 / +3.5,Other,Mobile phone,1-3 ,6-9,Disagree,Agree,Uncertain,Uncertain,Agree,Agree,Disagree,Uncertain,Strongly Agree,Strongly Agree,"Agree	","Agree	","Uncertain	","Uncertain	",Agree,Agree,Agree,Agree,Uncertain,Disagree,Agree,Disagree
Male,Second/ Sophomore,18-24,+90 / +3.5,Personal Computer,Personal Computer,1-3 ,3-6,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,"Agree	","Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
Male,Fourth/Senior,18-24,70-79 / 2.5-299,Mobile phone,Mobile phone,1-3 ,3-6,Uncertain,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
Male,Third/Junior,25-30,60-69 / 2-2.49,Mobile phone,Mobile phone,+12,9-12,Uncertain,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Disagree,Disagree,Disagree,Uncertain,Strongly Agree,Strongly Agree,Disagree,Disagree,Disagree,Strongly Agree,Disagree
Female,First/Freshman,18-24,80-89 / 3-3.49,Mobile phone,Mobile phone,1-3 ,6-9,Agree,Strongly Agree,Strongly Agree,Uncertain,Agree,Strongly Disagree,Uncertain,Strongly Agree,Agree,Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Female,Second/ Sophomore,18-24,70-79 / 2.5-299,Mobile phone,Mobile phone,3-6,6-9,Agree,Agree,Disagree,Disagree,Agree,Agree,Agree,Agree,Uncertain,Uncertain,"Agree	","Agree	","Agree	","Agree	",Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain
Male,Second/ Sophomore,18-24,70-79 / 2.5-299,Other,Mobile phone,1-3 ,6-9,Disagree,Agree,Agree,Strongly Agree,Uncertain,Uncertain,Uncertain,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Agree	","Agree	",Strongly Agree,Strongly Agree,Agree,Uncertain,Agree,Strongly Agree,Strongly Agree,Agree
Female,Second/ Sophomore,+30,+90 / +3.5,Mobile phone,Mobile phone,3-6,1-3 ,Agree,Agree,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,Uncertain,"Agree	",Disagree,"Uncertain	","Uncertain	",Uncertain,Agree,Agree,Uncertain,Uncertain,Uncertain,Agree,Uncertain
Female,Third/Junior,18-24,70-79 / 2.5-299,Mobile phone,Mobile phone,1-3 ,3-6,Disagree,Disagree,Strongly Agree,Strongly Agree,Agree,Uncertain,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Female,Third/Junior,18-24,80-89 / 3-3.49,Mobile phone,Laptop,3-6,6-9,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Agree,Disagree,Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
Female,Second/ Sophomore,25-30,+90 / +3.5,Laptop,Laptop,1-3 ,6-9,Agree,Strongly Agree,Uncertain,Strongly Agree,Strongly Agree,Disagree,Uncertain,Agree,Agree,Strongly Agree,"Agree	",Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Agree,Strongly Agree,Uncertain,Agree,Agree,Strongly Agree,Uncertain
Female,First/Freshman,18-24,80-89 / 3-3.49,Laptop,Mobile phone,6-9,9-12,Strongly Agree,Strongly Agree,Uncertain,Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Agree	",Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Female,First/Freshman,18-24,70-79 / 2.5-299,Laptop,Laptop,1-3 ,1-3 ,Agree,Uncertain,Strongly Agree,Strongly Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Female,Fourth/Senior,18-24,70-79 / 2.5-299,Mobile phone,Laptop,1-3 ,6-9,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
Female,Third/Junior,25-30,80-89 / 3-3.49,Mobile phone,Laptop,3-6,6-9,Uncertain,Strongly Agree,Uncertain,Uncertain,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,"Agree	","Agree	",Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Female,First/Freshman,18-24,+90 / +3.5,Laptop,Laptop,1-3 ,6-9,Agree,Strongly Agree,Uncertain,Uncertain,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Uncertain	","Uncertain	",Disagree,"Agree	",Agree,Agree,Agree,Strongly Agree,Agree,Uncertain,Agree,Agree
Female,First/Freshman,18-24,+90 / +3.5,Other,Other,1-3 ,1-3 ,Uncertain,Uncertain,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Agree	",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Uncertain
Female,Second/ Sophomore,18-24,70-79 / 2.5-299,Mobile phone,Laptop,3-6,6-9,Uncertain,Uncertain,Agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Uncertain
Female,Third/Junior,+30,80-89 / 3-3.49,Mobile phone,Mobile phone,1-3 ,6-9,Agree,Agree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree,Agree,Strongly Agree,Disagree,"Agree	",Disagree,Disagree,Agree,Agree,Strongly Agree,Uncertain,Agree,Agree,Uncertain,Disagree
Female,Third/Junior,18-24,80-89 / 3-3.49,Mobile phone,Laptop,1-3 ,9-12,Agree,Strongly Agree,Uncertain,Agree,Strongly Agree,Strongly Disagree,Uncertain,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Uncertain	",Strongly Agree,Strongly Agree,Strongly Agree,Uncertain,Uncertain,Strongly Agree,Agree,Agree
Female,Third/Junior,18-24,80-89 / 3-3.49,Mobile phone,Mobile phone,1-3 ,3-6,Uncertain,Agree,Uncertain,Uncertain,Agree,Uncertain,Disagree,Agree,Disagree,Agree,"Uncertain	","Agree	","Agree	","Agree	",Agree,Agree,Strongly Agree,Agree,Agree,Uncertain,Agree,Agree
Female,Third/Junior,18-24,+90 / +3.5,Laptop,Laptop,6-9,3-6,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,Disagree,Uncertain,Agree,"Agree	","Uncertain	","Agree	","Uncertain	",Uncertain,Agree,Agree,Uncertain,Uncertain,Uncertain,Strongly Agree,Disagree
Male,Second/ Sophomore,25-30,60-69 / 2-2.49,Mobile phone,Mobile phone,1-3 ,9-12,Agree,Agree,Disagree,Disagree,Agree,Disagree,Agree,Agree,Agree,Agree,"Agree	","Agree	","Agree	","Agree	",Agree,Agree,Agree,Agree,Agree,Agree,Agree,Agree
Female,Second/ Sophomore,18-24,80-89 / 3-3.49,Mobile phone,Laptop,1-3 ,1-3 ,Disagree,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Agree,Strongly Agree,"Agree	","Uncertain	",Strongly Agree,"Agree	",Agree,Strongly Agree,Agree,Strongly Agree,Agree,Uncertain,Strongly Agree,Uncertain
Female,Other,18-24,+90 / +3.5,I pad/ Tablet,I pad/ Tablet,3-6,9-12,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Uncertain,Uncertain,Strongly Agree,Strongly Agree,Strongly Agree,"Uncertain	","Agree	",Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree
Male,Second/ Sophomore,18-24,70-79 / 2.5-299,Other,Laptop,1-3 ,3-6,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,"Agree	","Agree	","Agree	","Agree	",Agree,Agree,Strongly Agree,Strongly Agree,Uncertain,Strongly Agree,Uncertain,Uncertain
Female,Fourth/Senior,18-24,80-89 / 3-3.49,Mobile phone,Laptop,1-3 ,9-12,Disagree,Strongly Agree,Uncertain,Disagree,Agree,Disagree,Uncertain,Agree,Disagree,Agree,"Uncertain	","Agree	","Agree	","Agree	",Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree
Female,Second/ Sophomore,18-24,80-89 / 3-3.49,Mobile phone,Laptop,9-12,+12,Uncertain,Disagree,Uncertain,Agree,Strongly Agree,Uncertain,Disagree,Disagree,Strongly Agree,Strongly Agree,Disagree,"Agree	","Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Uncertain,Strongly Agree,Strongly Agree
Male,Second/ Sophomore,18-24,80-89 / 3-3.49,Laptop,Laptop,3-6,6-9,Uncertain,Strongly Agree,Uncertain,Agree,Uncertain,Uncertain,Uncertain,Strongly Agree,Agree,Agree,"Uncertain	","Agree	","Agree	",Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
Female,Second/ Sophomore,25-30,70-79 / 2.5-299,Laptop,Laptop,1-3 ,3-6,Agree,Strongly Agree,Uncertain,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,"Agree	",Disagree,"Agree	",Agree,Strongly Agree,Uncertain,Disagree,Agree,Strongly Agree,Agree,Strongly Agree
Female,Second/ Sophomore,25-30,70-79 / 2.5-299,Laptop,Laptop,1-3 ,3-6,Agree,Strongly Agree,Uncertain,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,"Agree	",Disagree,"Agree	",Agree,Strongly Agree,Uncertain,Disagree,Agree,Strongly Agree,Agree,Strongly Agree
Female,Fourth/Senior,18-24,80-89 / 3-3.49,Laptop,Laptop,1-3 ,3-6,Agree,Strongly Agree,Uncertain,Uncertain,Strongly Agree,Strongly Disagree,Uncertain,Strongly Agree,Uncertain,Strongly Agree,Strongly Agree,"Agree	",Strongly Agree,"Uncertain	",Agree,Strongly Agree,Strongly Agree,Uncertain,Uncertain,Strongly Agree,Strongly Agree,Strongly Agree
Female,First/Freshman,+30,+90 / +3.5,Mobile phone,Mobile phone,9-12,9-12,Disagree,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Uncertain	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Female,Second/ Sophomore,18-24,80-89 / 3-3.49,Mobile phone,Laptop,3-6,6-9,Uncertain,Strongly Agree,Uncertain,Uncertain,Strongly Agree,Strongly Agree,Agree,Agree,Uncertain,Uncertain,"Uncertain	","Uncertain	","Uncertain	","Uncertain	",Uncertain,Agree,Agree,Disagree,Uncertain,Uncertain,Strongly Disagree,Strongly Disagree
Female,Second/ Sophomore,18-24,+90 / +3.5,Laptop,Laptop,3-6,1-3 ,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Agree,Uncertain,Strongly Agree,Agree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree
Female,Second/ Sophomore,18-24,80-89 / 3-3.49,Mobile phone,Laptop,1-3 ,6-9,Uncertain,Strongly Agree,Disagree,Strongly Agree,Agree,Disagree,Uncertain,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Agree	","Agree	",Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree
Female,Fourth/Senior,25-30,60-69 / 2-2.49,Mobile phone,Mobile phone,1-3 ,6-9,Uncertain,Strongly Agree,Uncertain,Strongly Agree,Agree,Disagree,Uncertain,Strongly Agree,Uncertain,Strongly Agree,Strongly Agree,"Agree	",Disagree,"Agree	",Agree,Strongly Agree,Agree,Disagree,Agree,Uncertain,Strongly Disagree,Agree
Female,Second/ Sophomore,18-24,70-79 / 2.5-299,Mobile phone,Mobile phone,1-3 ,1-3 ,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Uncertain,Uncertain,Agree,Strongly Agree,Uncertain,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Female,Fourth/Senior,18-24,80-89 / 3-3.49,Other,Laptop,1-3 ,6-9,Uncertain,Uncertain,Agree,Agree,Strongly Agree,Uncertain,Uncertain,Agree,Agree,Strongly Agree,"Agree	","Agree	","Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
Female,Second/ Sophomore,25-30,80-89 / 3-3.49,Laptop,Laptop,1-3 ,3-6,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Disagree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,"Uncertain	","Uncertain	","Uncertain	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Male,First/Freshman,18-24,80-89 / 3-3.49,Laptop,Laptop,1-3 ,1-3 ,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,"Uncertain	",Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Disagree
Female,Third/Junior,18-24,70-79 / 2.5-299,Laptop,Mobile phone,1-3 ,3-6,Uncertain,Strongly Agree,Uncertain,Strongly Agree,Agree,Strongly Agree,Uncertain,Strongly Agree,Uncertain,Strongly Agree,"Agree	","Agree	","Agree	","Agree	",Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Agree
Female,First/Freshman,18-24,80-89 / 3-3.49,Mobile phone,Laptop,1-3 ,3-6,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree
Female,Other,+30,70-79 / 2.5-299,Laptop,Mobile phone,1-3 ,3-6,Agree,Strongly Agree,Disagree,Uncertain,Strongly Agree,Agree,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,"Uncertain	",Strongly Agree,"Agree	","Agree	",Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree
