Gender,Level/Year,Age,Your cumulative average (GPA),Before COVID-19: Which of the following digital tools do you usually use?,After COVID-19: Which of the following digital tools do you usually use?,Before COVID-19: How much time do you spend using the digital tools in learning?,After COVID-19: How much time do you spend using the digital tools in learning?,"Before COVID-19: I always use digital tools (mobile, laptop, i-pad) in studying.","After COVID-19: I always use digital tools (mobile, laptop, i-pad) in studying.","Before COVID-19: When I use the mobile phone, tablet or laptop in e-learning, I cannot concentrate and I am distracted.","After COVID-19: When I use the mobile phone, tablet or laptop in e-learning, I cannot concentrate and I am distracted.",Before COVID-19: I have fixed hours for bedtime and wake-up. ,After COVID-19: I have fixed hours for bedtime and wake-up. ,"Before COVID-19: Prolonged use of digital tools for learning (mobile, laptop, i-pad) affected my sleeping habits.","After COVID-19: Prolonged use of digital tools for learning (mobile, laptop, i-pad) affected my sleeping habits.",Before COVID-19: Continuous exposure to electronic screens in online learning is tiring and exhausting,After COVID-19: Continuous exposure to electronic screens in online learning is tiring and exhausting,"The distance learning system, caused by the COVID-19 epidemic, resulted in social distancing.","Prolonged use of digital tools (mobile, laptop, i-pad) causes students’ isolation ",University learning contributes to strengthening the social personality of students.,Staying home for long periods of time leads to lethargy and laziness.,"Prolonged use of e-learning tools often leads to boredom, nervousness, and tension.",The psychological element is a key factor in the success of the educational process.,"Some students cannot afford buying all necessary digital tools, which is embarrassing and frustrating.",I don’t recommend continuing with the online learning model because it is socially and psychologically unhealthy.,"Measures of lockdown, closures, and quarantine, brought by COVID-19 caused stress, frustration, and depression.","The volume of assignments via e-learning led to confusion, frustration and poor performance. ",Face-to-face interaction contributes significantly to boosting students’ academic achievement.,Taking quizzes and exams online from home was not comfortable and made me nervous.
Female,First/Freshman,18-24,+90 / +3.5,Laptop,Laptop,1-3 ,3-6,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Female,Third/Junior,18-24,80-89 / 3-3.49,Mobile phone,Laptop,3-6,3-6,Uncertain,Strongly Agree,Agree,Disagree,Strongly Agree,Strongly Disagree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Uncertain,Strongly Agree,Strongly Agree,Agree,Uncertain
Female,Second/ Sophomore,18-24,+90 / +3.5,Mobile phone,Laptop,3-6,6-9,Agree,Strongly Agree,Uncertain,Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,"Agree	","Agree	","Agree	","Agree	",Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree
Male,Second/ Sophomore,18-24,80-89 / 3-3.49,Other,Mobile phone,1-3 ,3-6,Uncertain,Agree,Agree,Agree,Disagree,Disagree,Strongly Agree,Agree,Agree,Agree,"Agree	","Agree	","Agree	","Uncertain	",Agree,Agree,Agree,Agree,Agree,Uncertain,Agree,Agree
Female,Third/Junior,18-24,80-89 / 3-3.49,Mobile phone,Laptop,1-3 ,3-6,Agree,Strongly Agree,Disagree,Disagree,Agree,Agree,Uncertain,Uncertain,Agree,Agree,Disagree,"Agree	",Strongly Agree,"Agree	",Strongly Agree,Agree,Agree,Uncertain,Agree,Agree,Agree,Uncertain
Female,Third/Junior,18-24,+90 / +3.5,I pad/ Tablet,Laptop,3-6,+12,Uncertain,Strongly Agree,Disagree,Agree,Strongly Agree,Strongly Disagree,Uncertain,Strongly Agree,Disagree,Strongly Agree,"Agree	",Strongly Agree,"Agree	",Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Uncertain
Female,Second/ Sophomore,18-24,80-89 / 3-3.49,Laptop,Mobile phone,1-3 ,6-9,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree
Female,Third/Junior,18-24,80-89 / 3-3.49,Mobile phone,Laptop,3-6,6-9,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,"Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree
Female,Third/Junior,18-24,80-89 / 3-3.49,Mobile phone,Mobile phone,6-9,1-3 ,Strongly Disagree,Agree,Uncertain,Uncertain,Agree,Strongly Disagree,Uncertain,Agree,Strongly Agree,Strongly Agree,"Uncertain	","Agree	",Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree
Female,Second/ Sophomore,25-30,80-89 / 3-3.49,Mobile phone,Mobile phone,3-6,6-9,Uncertain,Agree,Agree,Agree,Agree,Agree,Uncertain,Uncertain,Agree,Strongly Agree,"Agree	","Agree	",Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Uncertain,Agree,Agree,Agree,Agree
